source_name,target_name,confidence
YCR096C,YDR477W,0.9996045231819153
YCR096C,YIL131C,0.999769389629364
YCR096C,YDR146C,0.9999814033508301
YCR096C,YOL116W,0.998501181602478
YIR018W,YNL031C,0.9882075190544128
YIR018W,YIL131C,0.9998787641525269
YIR018W,YOL116W,0.9992690682411194
YJL176C,YMR182C,0.9996190071105957
YHR090C,YGR040W,0.9963665008544922
YPR054W,YIL131C,0.999739944934845
YPR054W,YBL103C,0.9996271133422852
YOR344C,YOR083W,0.9993988275527954
YDR392W,YJL089W,0.9998924732208252
YPR009W,YDR049W,0.9976656436920166
YFL052W,YBL103C,0.9919949769973755
YLR055C,YDR034C,0.9998555183410645
YLR098C,YDR451C,0.9997773766517639
YJR017C,YER040W,0.9999998807907104
YMR033W,YBL103C,0.9993158578872681
YGR249W,YPR196W,0.911205530166626
YBL103C,YKL109W,0.8955351114273071
YOR028C,YPL016W,0.9985132813453674
YOL067C,YMR019W,0.9983332753181458
YMR039C,YLR453C,0.9999997615814209
YJL103C,YJR147W,0.9987460374832153
YIR013C,YHL009C,0.9998812675476074
YIR013C,YDR146C,0.992428719997406
YNL027W,YJR147W,0.9998152852058411
YNL027W,YML027W,0.9999573230743408
YOR210W,YMR182C,0.9997676014900208
YER130C,YNL314W,0.99969482421875
YJR140C,YPL016W,0.8826733231544495
YDR213W,YDR034C,0.8754441142082214
YDR096W,YPR196W,0.9999792575836182
YMR021C,YKL109W,0.9998880624771118
YBR239C,YLR256W,0.9914442896842957
YKL222C,YML027W,0.9999806880950928
YJL056C,YIR013C,0.9994669556617737
YDR443C,YBL008W,0.9998540878295898
YLR228C,YOR315W,0.9746685028076172
YBR297W,YER040W,0.9909233450889587
YPL202C,YPR196W,0.9998387098312378
YDR520C,YBL005W,0.8053761720657349
YMR172W,YER040W,0.9999994039535522
YER159C,YPL254W,0.9998711347579956
YGL192W,YIL131C,0.9996204376220703
YCR097W,YER040W,0.9999998807907104
YCR097W,YJR140C,0.9986710548400879
YNL025C,YBL103C,0.9997039437294006
YNL025C,YLR182W,0.9912841320037842
YER064C,YDR520C,0.9998854398727417
YDR397C,YBR193C,0.9894980192184448
YNL199C,YPL048W,0.9992891550064087
YNL330C,YOR083W,0.9993833303451538
YHR041C,YLR223C,0.9986875653266907
YER161C,YDR034C,0.9994939565658569
YCR028C-A,YBR297W,0.9985626339912415
YHR006W,YHL009C,0.9999998807907104
YNL236W,YNL314W,0.999884843826294
YOR077W,YKL020C,0.9992035031318665
YOR077W,YBL103C,0.9729889631271362
YJR144W,YLR453C,1.0
YDR100W,YBR066C,0.9993873834609985
YPR019W,YLR453C,0.9999998807907104
YPL180W,YLR453C,0.9999995231628418
YAL030W,YHL009C,1.0
decoy39,YDL048C,0.998891294002533
YJL051W,YLR256W,0.9984989166259766
YMR069W,YBR240C,0.9335180521011353
YMR069W,YOL116W,0.9996514320373535
YIL079C,YER040W,0.9999998807907104
YER183C,YIR017C,0.9979004859924316
YOR307C,YGR249W,0.99918133020401
YPL097W,YPR199C,0.9997767806053162
YGL001C,YHL009C,0.9999997615814209
YOR181W,YPL129W,0.9957767128944397
decoy27,YBL008W,0.999990701675415
YDR011W,YNL314W,0.9998892545700073
YPL003W,YBR297W,0.9999970197677612
YPL003W,YDL108W,0.9999984502792358
YBR273C,YKL020C,0.9999994039535522
YDR276C,YPL129W,0.996340811252594
YGR071C,YKL020C,0.9999992847442627
YGR071C,YPL129W,0.9997227787971497
decoy222,YPL048W,0.9974296689033508
decoy222,YBL103C,0.999292254447937
YOR285W,YKL109W,0.9997159838676453
YFR052W,YMR182C,0.9993724226951599
YFR052W,YBR297W,0.9999598264694214
YFR052W,YDR146C,0.999976396560669
YFR052W,YKL015W,0.9877105355262756
YLR196W,YNL314W,0.9979166388511658
YDR158W,YLR453C,0.9999998807907104
YBR019C,YLR453C,1.0
YBR019C,YPR199C,0.9999569654464722
YGL114W,YHL009C,0.9999996423721313
YOR063W,YPR196W,0.9998488426208496
YOR063W,YGR249W,0.9987061023712158
YOR063W,YDL048C,0.9990864992141724
YOR063W,YBL005W,0.9998642206192017
YNL326C,YPR196W,0.9998596906661987
YNL326C,YDL048C,0.9990942478179932
YNL326C,YBL005W,0.999869704246521
YDR196C,YKR099W,0.9887879490852356
YMR199W,YPR199C,0.9998552799224854
YDL222C,YIL131C,0.9997686743736267
YOR299W,YDL108W,0.9999986886978149
YHR213W-A,YDR146C,0.9999840259552002
YMR243C,YPL016W,0.9997560381889343
YMR243C,YER148W,0.9960818886756897
decoy229,YDL108W,0.9999896287918091
YBR281C,YDL020C,0.9909441471099854
YBR152W,YKL020C,0.9999980926513672
YGR029W,YKL109W,0.9999465942382812
YFR011C,YPL089C,0.9898793697357178
YOR052C,YBR297W,0.9999741315841675
YDR279W,YOR363C,0.9987179040908813
YDR279W,YKL109W,0.999991774559021
YHR128W,YJL089W,0.9998323917388916
