Gene_ID,Gene_Name,degree,betweenness,pagerank,composite_score
G1643,uhpT,0.0008871146595697493,6.6548358473824315e-06,0.001938339605831581,1.0
G186,yjiE,0.001996007984031936,0.0,0.0006859830337411664,0.9719188767550702
G149,aaeR,0.001996007984031936,0.0,0.0009608823295876525,0.9630785231409257
G257,ycfQ,0.001996007984031936,0.0,0.0006160346989888259,0.9485179407176287
G281,hns,0.0013306719893546241,0.0,0.0004917042946778195,0.9474778991159647
G301,hyfR,0.0017742293191394987,0.0,0.0005609945895375775,0.9396775871034841
G143,ycaN,0.0013306719893546241,0.0,0.0005639917399318102,0.9360374414976599
G195,decoy20,0.0011088933244621866,0.0,0.00038843809288910955,0.9162766510660427
G331,stpA,0.03082723442004879,0.0,0.0087948533980205,0.9100364014560582
G21,yciT,0.01641162120204036,2.218278615794144e-06,0.012839864699238774,0.9069162766510661
G279,leuO,0.00842758926591262,4.436557231588288e-06,0.006412254026641012,0.9017160686427457
G2,nikR,0.0006653359946773121,0.0,0.00021311570193025353,0.8892355694227769
G303,glnG,0.007318695941450432,0.0,0.004229012490861635,0.8845553822152886
G341,yccW,0.0008871146595697493,0.0,0.00034278612119249515,0.8845553822152886
G252,decoy17,0.001996007984031936,0.0,0.0009677846368525609,0.8809152366094644
G2312,bacA,0.0008871146595697493,0.0,0.0001851923860942673,0.8798751950078003
G2666,focA,0.0008871146595697493,0.0,0.0001851923860942673,0.8798751950078003
G1656,yibJ,0.0008871146595697493,0.0,0.0001851923860942673,0.8788351534061363
G3725,fecE,0.0008871146595697493,0.0,0.0001851923860942673,0.8788351534061363
G990,ygiH,0.0008871146595697493,0.0,0.0001851923860942673,0.8788351534061363
G3936,yeiG,0.0008871146595697493,0.0,0.0001851923860942673,0.8788351534061363
G4144,yjfI,0.0006653359946773121,0.0,0.0001851923860942673,0.8694747789911597
G3160,csgC,0.0006653359946773121,0.0,0.0001851923860942673,0.8694747789911597
G108,ygaV,0.005100909292526059,0.0,0.002310669046755932,0.8689547581903276
G217,yiiE,0.004879130627633621,0.0,0.0021571528379865255,0.8658346333853354
G114,ykgA,0.00421379463295631,8.873114463176575e-06,0.002061016045227242,0.8653146125845035
G258,agaR,0.00332667997338656,0.0,0.0012573283549427957,0.8647945917836714
G905,mutM,0.0011088933244621866,0.0,0.0001851923860942673,0.8647945917836714
G3219,aroB,0.0015524506542470614,0.0,0.0001851923860942673,0.8554342173686947
G4123,bioB,0.0017742293191394987,0.0,0.0001851923860942673,0.8543941757670307
G2514,ybaT,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G1402,nhoA,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3397,ymgE,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3811,yjhR,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G2039,yhcA,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3327,mdoG,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3328,yjhY,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3127,yiaM,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3829,thiG,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G1537,ssrA,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G3859,pheP,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G338,rpsS,0.0011088933244621866,0.0,0.0001851923860942673,0.8502340093603744
G874,yqiJ,0.0015524506542470614,0.0,0.0001851923860942673,0.8491939677587104
G1691,nlpI,0.0013306719893546241,0.0,0.0001851923860942673,0.8471138845553822
G97,ytfH,0.001996007984031936,0.0,0.0007729195004658365,0.8471138845553822
G3254,tam,0.0013306719893546241,0.0,0.0001851923860942673,0.8471138845553822
G845,atpC,0.0013306719893546241,0.0,0.0001851923860942673,0.8471138845553822
G4243,acnB,0.0013306719893546241,0.0,0.0001851923860942673,0.8471138845553822
G275,yahB,0.0015524506542470614,0.0,0.0005892662952082209,0.8460738429537182
G2635,yhcC,0.0008871146595697493,0.0,0.0001851923860942673,0.843473738949558
